query,time (ms)
query 1,23.0
query 2,97.0
query 3,31.0
query 4,272.0
query 5,25.5
query 6,13.0
query 7,25.0
query 8,40.5
query 9,30.0
query 10,73.5
query 12,19.5
query 13,32.5
query 16,1534.5
query 17,104.0
query 18,483.0
query 19,23.5
query 20,200.0
query 22,88.5
