query_id,time(ms)
1,52.0
2,55.0
3,35.0
4,1073.0
5,83.0
6,105.0
7,83.0
8,69.0
9,85.0
10,52.0
11,691.0
13,92.0
14,704.0
15,70.0
17,84.0
18,130.0
19,77.0
22,965.0
23,349.0
24,78.0
25,43.0
26,72.0
27,92.0
28,88.0
29,90.0
30,72.0
31,81.0
33,59.0
34,62.0
35,136.0
36,597.0
38,96.0
39,79.0
41,23.0
42,38.0
43,51.0
44,18.0
45,82.0
46,141.0
47,148.0
48,86.0
49,75.0
50,70.0
51,849.0
52,43.0
53,60.0
54,69.0
55,46.0
56,71.0
57,115.0
58,68.0
59,120.0
60,72.0
61,79.0
62,36.0
63,53.0
64,174.0
65,143.0
66,68.0
67,1008.0
68,94.0
69,37.0
70,64.0
71,66.0
72,236.0
73,52.0
74,439.0
75,185.0
76,77.0
78,234.0
79,83.0
81,122.0
83,30.0
84,28.0
85,67.0
86,46.0
87,101.0
88,85.0
89,61.0
90,16.0
91,22.0
93,53.0
96,27.0
97,103.0
99,48.0
