query_id, cpu_used(%), ram_used(gb)
1, 81.5, 0.99
1, 88.1, 1.04
1, 90.8, 1.11
1, 90.6, 1.18
1, 68.8, 1.05
2, 66.2, 1.09
3, 77.4, 1.12
3, 84.4, 1.16
3, 83.1, 1.28
3, 69.8, 1.13
4, 71.9, 0.98
4, 86.6, 1.10
4, 86.2, 1.22
4, 1.6, 1.19
5, 70.3, 1.23
5, 85.7, 1.28
5, 86.6, 1.39
5, 71.0, 1.28
6, 66.7, 1.05
6, 45.2, 0.92
7, 63.5, 1.02
7, 71.9, 1.33
7, 81.8, 1.52
7, 95.5, 1.55
7, 1.6, 1.04
8, 76.6, 1.11
8, 80.3, 1.27
8, 80.0, 1.48
8, 82.8, 1.65
9, 60.3, 1.18
9, 71.9, 1.40
9, 44.6, 1.66
9, 98.5, 1.69
9, 89.4, 1.82
9, 89.2, 1.97
9, 89.4, 2.12
9, 89.6, 2.27
9, 89.1, 2.42
9, 84.6, 2.57
9, 0.0, 1.10
10, 64.6, 1.14
10, 77.3, 1.19
10, 83.3, 1.31
10, 84.6, 1.46
10, 89.4, 1.57
10, 3.2, 0.80
11, 79.4, 0.86
12, 71.0, 0.93
12, 78.5, 1.16
12, 70.8, 0.78
13, 72.3, 0.82
13, 94.0, 0.90
13, 89.4, 1.01
13, 93.8, 1.07
13, 93.8, 1.12
13, 92.4, 1.19
13, 91.0, 1.27
13, 64.6, 0.92
14, 60.9, 1.08
14, 69.8, 1.36
14, 45.3, 1.53
15, 65.1, 1.23
15, 70.1, 1.41
15, 98.5, 1.45
15, 24.2, 1.11
16, 71.9, 1.16
16, 66.7, 1.04
17, 75.4, 1.11
17, 83.1, 1.23
17, 84.6, 1.34
17, us., 1.34
17, 53.1, 1.08
18, 70.8, 1.16
18, 89.6, 1.25
18, 86.6, 1.35
18, 83.8, 1.47
18, 98.5, 1.52
18, 90.8, 1.54
18, 55.6, 0.78
19, 67.2, 0.94
19, 81.8, 1.14
19, 81.8, 1.33
19, 79.7, 1.55
19, 1.6, 0.79
20, 76.2, 0.87
20, 73.1, 1.13
20, 65.1, 1.36
21, 68.8, 1.08
21, 74.6, 1.30
21, 76.9, 1.51
21, 92.4, 1.59
21, us., 1.63
21, us., 1.63
21, 95.4, 1.63
21, us., 1.63
21, 22.2, 1.03
22, 81.0, 1.07
22, 82.5, 1.10
