query_id,cpu_used(%),ram_used(gb),time(ms)
1,13.3,0.72,39.0
2,52.2,0.71,89.0
3,14.83,0.7,25.67
4,43.5,0.77,713.33
5,31.7,0.73,65.67
6,14.97,0.73,42.0
7,40.43,0.74,88.33
8,18.37,0.73,44.0
9,71.83,0.73,115.33
10,25.27,0.72,50.33
11,48.22,0.78,419.67
12,10.77,0.76,23.67
13,45.73,0.76,90.33
14,78.06,0.82,413.0
15,9.53,0.7,30.67
16,17.63,0.7,36.67
17,24.73,0.72,55.33
18,27.43,0.73,72.67
19,17.93,0.73,43.67
20,9.67,0.72,22.0
21,8.63,0.72,13.67
22,69.55,0.73,376.33
23,84.97,0.79,360.67
24,7.6,0.7,9.83
25,13.43,0.71,34.33
26,19.13,0.71,43.0
27,40.43,0.69,90.33
28,80.33,0.71,134.33
29,30.07,0.71,63.33
30,14.53,0.72,45.33
31,30.1,0.73,62.33
32,9.7,0.73,17.33
33,18.83,0.74,39.33
34,21.53,0.75,42.67
35,52.67,0.74,98.67
36,37.97,0.73,131.33
37,6.5,0.73,10.33
38,43.3,0.72,80.33
39,53.97,0.75,68.17
40,8.47,0.75,22.33
41,5.8,0.74,11.33
42,13.9,0.75,25.0
43,31.73,0.76,53.0
44,43.8,0.76,77.0
45,10.63,0.75,28.33
46,34.23,0.74,84.33
47,74.83,0.77,195.67
48,40.4,0.7,79.33
49,25.27,0.71,52.67
50,30.8,0.71,57.33
51,76.15,0.76,411.33
52,13.43,0.77,24.67
53,19.27,0.78,37.33
54,9.7,0.78,22.33
55,13.37,0.78,24.33
56,23.27,0.79,46.33
57,41.8,0.8,82.67
58,16.3,0.8,34.0
59,81.73,0.8,144.33
60,23.0,0.77,48.33
61,12.5,0.76,26.0
62,14.47,0.75,27.67
63,18.67,0.74,35.33
64,67.7,0.77,155.67
65,54.8,0.72,99.0
66,17.73,0.71,42.33
67,79.8,0.87,823.33
68,32.27,0.81,71.67
69,27.1,0.82,52.67
70,34.57,0.82,61.33
71,18.93,0.83,41.33
72,48.4,0.85,135.33
73,20.87,0.86,38.33
74,32.9,0.84,272.67
75,53.97,0.81,119.0
76,26.87,0.8,56.67
77,21.93,0.81,49.0
78,73.33,0.86,240.33
79,33.53,0.82,68.0
80,46.53,0.81,96.0
81,14.9,0.81,54.33
82,12.23,0.81,21.0
83,8.6,0.81,16.67
84,10.23,0.81,25.67
85,23.23,0.81,60.0
86,12.83,0.81,25.33
87,49.73,0.83,89.67
88,66.3,0.83,124.67
89,23.13,0.81,44.67
90,8.1,0.81,12.33
91,19.1,0.81,34.67
92,7.57,0.8,15.33
93,9.17,0.8,22.0
94,11.23,0.8,25.67
95,35.1,0.79,270.33
96,11.77,0.76,21.0
97,46.8,0.77,90.67
98,16.63,0.76,37.67
99,20.53,0.75,42.0
