query_id, real_time(s), user_time(s), sys_time(s)
01, 0.162, 0.531067, 0.261379
02, 0.352, 1.616926, 0.418657
03, 2.015, 0.629002, 0.442673
04, 6.659, 12.700229, 2.173988
05, 1.107, 1.499057, 1.090364
06, 0.153, 0.547198, 0.436801
07, 0.614, 1.163557, 0.897446
08, 0.075, 0.502177, 0.560453
09, 0.191, 3.553812, 1.871235
10, 0.086, 0.505555, 0.360544
11, 2.338, 7.758000, 1.595234
13, 0.136, 1.583201, 1.172556
14, 1.379, 23.002392, 2.745235
14, 1.135, 15.907593, 0.827411
15, 0.057, 0.113192, 0.077761
17, 0.128, 0.974753, 0.970587
18, 0.146, 0.567560, 0.451290
19, 0.089, 0.698203, 0.753341
22, 0.101, 1.419832, 0.310775
23, 0.511, 11.100277, 2.387701
23, 0.410, 11.153302, 0.617441
24, 0.127, 1.039541, 0.796174
24, 0.046, 0.818676, 0.005447
25, 0.119, 0.792093, 1.066761
26, 0.048, 0.216753, 0.241080
27, 0.124, 1.102814, 1.095718
28, 0.173, 3.614266, 0.570274
29, 0.127, 1.094428, 0.928734
30, 0.100, 0.232160, 0.117481
31, 0.112, 1.205752, 0.710152
33, 0.082, 0.682862, 0.938537
34, 0.075, 0.720127, 0.601570
35, 0.181, 1.081450, 0.551542
36, 0.114, 1.691656, 0.899779
38, 0.122, 1.829248, 0.451991
39, 0.051, 0.124340, 0.140764
39, 0.041, 0.132899, 0.052096
41, 0.014, 0.023102, 0.025110
42, 0.054, 0.452590, 0.534919
43, 0.074, 1.217908, 0.433748
44, 0.032, 0.542921, 0.153640
45, 0.121, 0.307167, 0.233749
46, 0.342, 1.530765, 0.874004
47, 0.211, 3.614033, 1.341364
48, 0.121, 1.470831, 0.885125
49, 0.143, 1.054015, 1.033009
50, 0.100, 1.550015, 0.684407
51, 0.788, 8.225621, 2.003428
52, 0.059, 0.507972, 0.498626
53, 0.078, 0.649887, 0.665153
54, 0.101, 0.668789, 0.695368
55, 0.053, 0.430332, 0.553520
56, 0.091, 0.741466, 0.955468
57, 0.086, 0.896328, 0.362459
58, 0.077, 0.541977, 0.676972
59, 0.150, 2.976915, 0.455697
60, 0.098, 0.821462, 0.970280
61, 0.033, 0.187650, 0.251136
62, 0.051, 0.481176, 0.270936
63, 0.066, 0.547686, 0.674886
64, 0.237, 2.708422, 1.466641
65, 0.161, 2.714295, 0.949959
66, 0.110, 0.511144, 0.773807
67, 1.067, 23.722365, 5.915511
68, 0.145, 1.275214, 1.153107
69, 0.042, 0.093148, 0.146041
70, 0.094, 1.496153, 0.608946
71, 0.094, 0.685501, 0.739097
72, 0.392, 1.063509, 0.611718
73, 0.078, 0.820044, 0.491255
74, 1.506, 5.165711, 1.190772
75, 0.284, 2.782796, 1.385862
76, 0.138, 1.089555, 1.108995
78, 0.453, 7.220884, 2.137093
79, 0.120, 1.300851, 0.925450
81, 0.130, 0.299148, 0.151789
83, 0.031, 0.123778, 0.194474
84, 0.032, 0.144204, 0.064903
85, 0.105, 0.525718, 0.480104
86, 0.050, 0.451488, 0.217114
87, 0.140, 2.064703, 0.511658
88, 0.134, 2.784889, 0.495226
89, 0.075, 0.890815, 0.694638
90, 0.029, 0.148362, 0.185250
91, 0.034, 0.055257, 0.089615
93, 0.087, 0.347638, 0.284640
96, 0.044, 0.422051, 0.429831
97, 0.264, 2.679602, 0.698443
99, 0.053, 0.724710, 0.290295
