query_id, cpu_used(%), ram_used(gb)
01, 44.4, 0.75
02, 82.1, 0.75
02, 63.5, 0.78
03, 57.1, 0.84
04, 55.6, 0.87
04, 59.1, 0.91
04, 68.2, 0.97
04, 61.9, 1.14
04, 50.0, 1.17
04, 70.8, 1.17
04, 61.9, 1.27
04, 46.9, 1.29
04, 63.5, 1.31
04, 0.0, 0.90
05, 64.1, 0.90
05, 9.2, 0.93
06, 48.4, 0.99
07, 62.9, 1.08
07, 38.7, 0.88
08, 61.9, 0.93
09, 68.3, 0.89
09, us., 0.89
09, 21.0, 0.90
10, 64.5, 0.93
11, 60.3, 0.93
11, 69.8, 1.01
11, 62.5, 1.07
11, 68.8, 1.07
11, 67.7, 1.12
11, 73.4, 1.12
11, 4.8, 0.97
12, 1.6, 0.97
13, 63.5, 1.03
13, 40.0, 1.08
14, 73.8, 1.12
14, 83.3, 1.23
14, 80.9, 1.34
14, 80.3, 1.47
14, us., 1.47
14, 98.5, 1.47
14, 87.9, 1.48
14, 92.4, 1.51
14, us., 1.51
14, 74.2, 1.51
14, 95.5, 1.52
14, 98.5, 1.52
14, 95.3, 1.52
14, 87.1, 1.52
14, 98.5, 1.55
14, 76.9, 1.47
15, 21.9, 0.91
16, 3.2, 0.90
17, 65.6, 0.99
18, 58.7, 1.05
19, 64.1, 1.02
20, 1.6, 0.96
21, 3.3, 0.96
22, 67.2, 1.01
22, 81.8, 1.16
22, 80.9, 1.41
22, 77.6, 1.70
22, 81.5, 2.03
22, 79.1, 2.38
22, 83.6, 2.71
22, 80.6, 3.05
22, 77.6, 3.39
22, 81.8, 3.75
22, 80.3, 4.09
22, 75.0, 4.43
22, 75.8, 4.78
22, 67.7, 4.95
22, 97.0, 4.95
22, 97.0, 4.95
22, 70.3, 4.91
22, 1.6, 1.86
23, 76.9, 1.12
23, 88.1, 1.20
23, 83.6, 1.31
23, 83.1, 1.42
23, 84.8, 1.60
23, 94.0, 1.70
23, 98.5, 1.72
23, us., 1.72
23, us., 1.73
23, 98.5, 1.73
23, 98.5, 1.73
23, 93.9, 1.74
23, 90.8, 1.79
23, 95.5, 1.80
23, 98.5, 1.80
23, 62.5, 1.25
24, 60.3, 0.93
24, 35.9, 0.97
25, 32.3, 1.01
26, 51.6, 1.08
27, 65.1, 1.14
27, 33.3, 0.92
28, 66.7, 0.97
28, us., 0.97
28, 42.2, 0.97
29, 63.5, 1.05
29, 0.0, 1.06
30, 31.1, 1.08
31, 64.2, 1.08
32, 3.3, 0.95
33, 61.5, 1.04
34, 74.6, 1.07
35, 71.4, 1.06
35, 21.9, 0.94
36, 64.1, 1.03
36, 41.3, 1.08
36, 19.4, 0.78
37, 3.2, 0.78
38, 74.2, 0.83
38, 40.6, 0.86
39, 71.9, 0.92
39, 72.6, 0.95
40, 3.2, 0.95
41, 9.7, 0.96
42, 43.5, 0.90
43, 81.2, 0.92
44, 79.4, 0.84
45, 24.2, 0.86
46, 72.3, 0.89
46, 21.3, 0.84
47, 72.7, 0.88
47, 86.4, 0.98
47, 85.9, 1.02
48, 69.8, 0.84
48, 29.7, 0.75
49, 60.0, 0.86
50, 75.4, 0.93
50, 12.9, 0.85
51, 70.3, 0.99
51, 90.9, 1.11
51, 96.9, 1.11
51, 92.5, 1.20
51, 85.3, 1.32
51, 93.8, 1.32
51, 75.0, 1.32
52, 44.4, 0.89
53, 61.9, 0.96
54, 61.9, 0.94
55, 46.0, 0.89
56, 59.7, 1.00
57, 74.2, 0.85
57, 1.6, 0.86
58, 54.0, 0.96
59, 84.6, 0.98
59, 95.5, 1.00
59, 41.3, 1.03
60, 62.9, 1.08
61, 12.7, 1.09
62, 53.2, 1.09
63, 65.1, 1.09
64, 56.9, 1.08
64, 86.4, 1.10
64, 41.3, 1.05
65, 70.3, 1.09
65, 97.0, 1.13
65, 0.0, 1.04
66, 52.5, 0.99
67, 66.2, 1.07
67, 84.8, 1.19
67, 86.2, 1.29
67, 87.9, 1.40
67, 88.1, 1.54
67, 87.7, 1.70
67, 86.4, 1.90
67, 85.7, 2.09
67, 86.8, 2.29
67, 89.4, 2.50
67, 89.2, 2.60
67, 98.5, 2.61
67, 88.1, 2.61
67, 93.9, 2.62
67, 83.8, 2.66
67, 89.6, 2.71
67, 72.3, 2.45
67, 1.6, 1.08
68, 66.2, 1.18
68, 1.6, 1.03
69, 67.7, 1.04
70, 71.0, 1.08
70, 6.3, 1.08
71, 65.1, 1.08
72, 58.1, 1.03
72, 45.0, 1.03
73, 71.4, 1.07
74, 51.6, 1.08
74, 59.4, 1.12
74, 69.8, 1.12
74, 61.9, 1.12
74, 1.6, 0.85
75, 63.5, 0.89
75, 72.6, 1.01
75, 6.3, 0.71
76, 65.6, 0.85
76, 0.0, 0.95
77, 3.2, 0.95
78, 66.2, 1.03
78, 84.8, 1.10
78, 84.8, 1.26
78, 84.8, 1.41
78, 73.8, 1.12
79, 71.4, 0.94
79, 0.0, 0.99
80, 3.2, 0.97
81, 36.5, 1.00
82, 3.2, 0.99
83, 16.1, 1.01
84, 21.0, 0.97
85, 59.7, 1.00
86, 41.9, 0.95
87, 75.4, 0.95
87, 59.1, 0.96
88, 67.2, 1.00
88, us., 1.00
89, 67.2, 1.08
90, 21.0, 0.98
91, 19.4, 0.99
92, 3.3, 0.99
93, 70.8, 1.02
93, 93.9, 1.08
94, 30.6, 0.89
95, 1.6, 0.88
96, 44.4, 0.91
97, 76.6, 0.96
97, 94.0, 1.01
98, 1.6, 1.00
99, 77.8, 1.01
