query,time (ms)
query 1,1469.0
query 2,14234.0
query 3,749.0
query 6,420.0
query 7,331.0
query 9,413.0
query 12,783.0
query 13,360.0
query 17,1109.0
query 20,780.0
query 21,1406.0
query 24,16344.0
query 25,1425.0
query 26,440.0
query 29,976.0
query 30,1358.0
query 32,4135.0
query 33,662.0
query 34,998.0
query 37,3776.0
query 40,495.0
query 41,895.0
query 42,193.0
query 43,183.0
query 46,1135.0
query 48,229.0
query 50,672.0
query 52,633.0
query 53,270.0
query 54,11326.0
query 55,584.0
query 56,707.0
query 58,1108.0
query 59,2451.0
query 60,127.0
query 61,367.0
query 62,241.0
query 63,262.0
query 64,1869.0
query 65,2814.0
query 68,1035.0
query 71,1757.0
query 73,940.0
query 78,21040.0
query 79,1397.0
query 81,1500.0
query 82,6581.0
query 83,950.0
query 89,914.0
query 91,267.0
query 92,2233.0
query 93,244.0
query 96,169.0
query 98,1243.0
query 99,470.0
