query,time (ms)
query 1,278.0
query 2,13829.0
query 3,11.0
query 6,77.0
query 7,59.0
query 9,88.0
query 12,102.0
query 13,40.0
query 17,188.0
query 20,114.0
query 21,96.0
query 24,8045.0
query 25,165.0
query 26,47.0
query 29,168.0
query 30,145.0
query 32,3192.0
query 33,122.0
query 34,85.0
query 37,1543.0
query 40,157.0
query 41,76.0
query 42,12.0
query 43,16.0
query 46,151.0
query 48,28.0
query 50,41.0
query 52,11.0
query 53,79.0
query 54,7496.0
query 55,11.0
query 56,93.0
query 58,122.0
query 59,960.0
query 60,127.0
query 61,44.0
query 62,20.0
query 63,71.0
query 64,240.0
query 65,1513.0
query 68,69.0
query 71,581.0
query 73,31.0
query 78,18621.0
query 79,504.0
query 81,208.0
query 82,3003.0
query 83,116.0
query 89,319.0
query 91,26.0
query 92,1608.0
query 93,41.0
query 96,10.0
query 98,578.0
query 99,22.0
