query,time (ms)
query 1,278.0
query 2,13850.0
query 3,10.0
query 6,77.0
query 7,58.0
query 9,89.0
query 12,103.0
query 13,39.0
query 17,187.0
query 20,114.0
query 21,98.0
query 24,7993.0
query 25,164.0
query 26,46.0
query 29,166.0
query 30,144.0
query 32,3131.0
query 33,121.0
query 34,89.0
query 37,1544.0
query 40,156.0
query 41,76.0
query 42,12.0
query 43,17.0
query 46,151.0
query 48,28.0
query 50,42.0
query 52,11.0
query 53,78.0
query 54,7651.0
query 55,11.0
query 56,92.0
query 58,128.0
query 59,971.0
query 60,126.0
query 61,44.0
query 62,20.0
query 63,71.0
query 64,241.0
query 65,1521.0
query 68,70.0
query 71,568.0
query 73,35.0
query 78,18601.0
query 79,530.0
query 81,213.0
query 82,3003.0
query 83,121.0
query 89,314.0
query 91,28.0
query 92,1627.0
query 93,40.0
query 96,10.0
query 98,589.0
query 99,22.0
