query_id,time(ms)
1,60.0
2,38.0
3,31.0
4,577.0
5,66.0
6,69.0
7,83.0
8,52.0
9,50.0
10,47.0
11,511.0
13,64.0
14,278.0
15,51.0
17,65.0
18,87.0
19,47.0
22,427.0
23,167.0
24,51.0
25,33.0
26,50.0
27,89.0
28,61.0
29,62.0
30,59.0
31,60.0
33,39.0
34,42.0
35,97.0
36,296.0
38,60.0
39,58.0
41,16.0
42,26.0
43,34.0
44,12.0
45,60.0
46,112.0
47,116.0
48,56.0
49,48.0
50,46.0
51,467.0
52,31.0
53,39.0
54,43.0
55,27.0
56,51.0
57,78.0
58,40.0
59,73.0
60,53.0
61,32.0
62,30.0
63,32.0
64,107.0
65,74.0
66,56.0
67,487.0
68,66.0
69,46.0
70,44.0
71,55.0
72,156.0
73,40.0
74,338.0
75,99.0
76,48.0
78,139.0
79,50.0
81,97.0
83,22.0
84,25.0
85,48.0
86,38.0
87,76.0
88,55.0
89,46.0
90,16.0
91,21.0
93,66.0
94,31.0
96,26.0
97,74.0
99,36.0
