query_id, real_time(s), user_time(s), sys_time(s)
01, 0.039, 0.068904, 0.019754
02, 0.090, 0.295845, 0.024092
03, 0.025, 0.071907, 0.014486
04, 0.728, 1.248489, 0.142955
05, 0.065, 0.168091, 0.067980
06, 0.043, 0.079977, 0.024987
07, 0.088, 0.221294, 0.081962
08, 0.043, 0.092820, 0.028283
09, 0.115, 0.422898, 0.024845
10, 0.050, 0.132432, 0.036177
11, 0.419, 0.875141, 0.103318
12, 0.023, 0.036224, 0.015351
13, 0.090, 0.260211, 0.061361
14, 0.490, 1.665205, 0.162813
14, 0.335, 1.170806, 0.033942
15, 0.030, 0.024454, 0.016665
16, 0.036, 0.085466, 0.028826
17, 0.056, 0.132567, 0.037422
18, 0.072, 0.132493, 0.033097
19, 0.045, 0.100136, 0.040197
20, 0.022, 0.035460, 0.016307
21, 0.014, 0.035586, 0.008139
22, 0.374, 1.369390, 0.022105
23, 0.376, 1.268044, 0.169038
23, 0.344, 1.288628, 0.028990
24, 0.014, 0.019399, 0.012154
24, 0.006, 0.007518, 0.001805
25, 0.036, 0.068511, 0.021749
26, 0.043, 0.102100, 0.025711
27, 0.090, 0.232784, 0.076259
28, 0.135, 0.487885, 0.032952
29, 0.063, 0.167921, 0.043685
30, 0.045, 0.047129, 0.016402
31, 0.061, 0.152174, 0.056653
32, 0.018, 0.036384, 0.017147
33, 0.039, 0.096532, 0.046263
34, 0.042, 0.101666, 0.034505
35, 0.098, 0.301844, 0.057770
36, 0.130, 0.220860, 0.063973
37, 0.009, 0.012365, 0.008151
38, 0.082, 0.256917, 0.046527
39, 0.071, 0.175374, 0.030130
39, 0.059, 0.143713, 0.004610
40, 0.021, 0.026807, 0.012581
41, 0.012, 0.019468, 0.002026
42, 0.025, 0.066605, 0.024480
43, 0.053, 0.176673, 0.022026
44, 0.077, 0.249885, 0.041081
45, 0.029, 0.050156, 0.012187
46, 0.083, 0.184772, 0.049560
47, 0.197, 0.629278, 0.087195
48, 0.078, 0.228607, 0.042958
49, 0.053, 0.137534, 0.053380
50, 0.058, 0.182356, 0.025791
51, 0.407, 1.283498, 0.110434
52, 0.024, 0.062050, 0.026657
53, 0.037, 0.088002, 0.041519
54, 0.022, 0.037896, 0.017961
55, 0.024, 0.065292, 0.021799
56, 0.046, 0.127725, 0.039841
57, 0.085, 0.230530, 0.042263
58, 0.034, 0.085614, 0.034237
59, 0.147, 0.518071, 0.019217
60, 0.048, 0.115042, 0.060936
61, 0.026, 0.056316, 0.022694
62, 0.029, 0.073288, 0.011857
63, 0.034, 0.089014, 0.028630
64, 0.158, 0.447047, 0.085783
65, 0.099, 0.322680, 0.041733
66, 0.043, 0.088326, 0.028447
67, 0.823, 2.833779, 0.292020
68, 0.072, 0.175293, 0.052675
69, 0.053, 0.145589, 0.028776
70, 0.062, 0.199583, 0.028058
71, 0.040, 0.087936, 0.039022
72, 0.140, 0.270031, 0.051117
73, 0.038, 0.100429, 0.025803
74, 0.264, 0.558826, 0.084487
75, 0.118, 0.311884, 0.073847
76, 0.057, 0.164084, 0.044284
77, 0.049, 0.124667, 0.043866
78, 0.236, 0.755960, 0.140439
79, 0.068, 0.188129, 0.044558
80, 0.096, 0.265070, 0.089673
81, 0.054, 0.057340, 0.019794
82, 0.020, 0.054249, 0.012060
83, 0.017, 0.035179, 0.014668
84, 0.026, 0.046844, 0.003061
85, 0.061, 0.137039, 0.023949
86, 0.025, 0.058236, 0.014248
87, 0.090, 0.292497, 0.044823
88, 0.124, 0.386914, 0.027168
89, 0.044, 0.126225, 0.028518
90, 0.012, 0.027969, 0.010604
91, 0.034, 0.093917, 0.010237
92, 0.015, 0.028387, 0.008996
93, 0.022, 0.032019, 0.023182
94, 0.024, 0.039251, 0.023699
95, 0.280, 0.846921, 0.043813
96, 0.020, 0.056112, 0.019143
97, 0.090, 0.262855, 0.049106
98, 0.038, 0.077909, 0.036549
99, 0.044, 0.116617, 0.011050
