query_id, real_time(s), user_time(s), sys_time(s)
1, 0.021, 0.164870, 0.093208
2, 0.021, 0.053943, 0.043170
3, 0.038, 0.131697, 0.125154
4, 0.031, 0.109521, 0.068454
5, 0.033, 0.116432, 0.151486
6, 0.010, 0.039437, 0.066800
7, 0.035, 0.137965, 0.161913
8, 0.034, 0.097286, 0.135070
9, 0.073, 0.352719, 0.240794
10, 0.080, 0.322409, 0.187804
11, 0.011, 0.027234, 0.035466
12, 0.022, 0.086476, 0.131202
13, 0.045, 0.268292, 0.086629
14, 0.028, 0.086666, 0.113893
14, 0.001, 0.000694, 0.000000
15, 0.026, 0.107684, 0.165649
15, 0.001, 0.000502, 0.000000
16, 0.027, 0.083643, 0.066136
17, 0.028, 0.133102, 0.121146
18, 0.039, 0.261861, 0.146588
19, 0.035, 0.131059, 0.158365
20, 0.035, 0.123021, 0.132688
21, 0.059, 0.356691, 0.132859
22, 0.032, 0.046978, 0.030455
