query_id,time(ms)
1,21.0
2,21.0
3,38.0
4,31.0
5,33.0
6,10.0
7,35.0
8,34.0
9,73.0
10,80.0
11,11.0
12,22.0
13,45.0
14,28.0
15,26.0
16,27.0
17,28.0
18,39.0
19,35.0
20,35.0
21,59.0
22,32.0
