query_id,real_time(s),user_time(s),sys_time(s)
1,0.617,2.14484,0.243531
2,0.075,0.146668,0.055867
3,0.421,1.320326,0.266067
4,0.385,1.237949,0.194432
5,0.434,1.339375,0.288982
6,0.185,0.499917,0.213413
7,0.487,1.490267,0.33754
8,0.383,1.021408,0.395709
9,1.143,3.593578,0.686755
10,0.712,2.207946,0.408304
11,0.072,0.229805,0.040099
12,0.315,0.978853,0.22277
13,1.057,3.703695,0.292968
14,0.293,0.680393,0.322123
15,0.372,1.176719,0.258534
16,0.181,0.534531,0.086149
17,0.344,1.074818,0.242152
18,0.931,3.185221,0.341016
19,0.542,1.519136,0.42162
20,0.332,0.979083,0.283399
21,1.098,3.691287,0.324332
22,0.147,0.438476,0.039761
