query, start at (ms), end at (ms), time (ms)
query 1, 2025-04-18 12:52:00.900, 2025-04-18 12:52:01.194, 50
query 2, 2025-04-18 12:52:01.196, 2025-04-18 12:52:09.857, 8220
query 3, 2025-04-18 12:52:09.859, 2025-04-18 12:52:10.104, 7
query 4, 2025-04-18 12:52:10.106, 2025-04-18 12:52:10.349, 
query 5, 2025-04-18 12:52:10.351, 2025-04-18 12:52:10.597, 
query 6, 2025-04-18 12:52:10.599, 2025-04-18 12:52:10.885, 
query 7, 2025-04-18 12:52:10.887, 2025-04-18 12:52:11.137, 12
query 8, 2025-04-18 12:52:11.139, 2025-04-18 12:52:11.386, 
query 9, 2025-04-18 12:52:11.388, 2025-04-18 12:52:11.690, 62
query 10, 2025-04-18 12:52:11.692, 2025-04-18 12:52:12.121, 
query 11, 2025-04-18 12:52:12.123, 2025-04-18 12:52:12.363, 
query 12, 2025-04-18 12:52:12.365, 2025-04-18 12:52:12.650, 47
query 13, 2025-04-18 12:52:12.652, 2025-04-18 12:52:12.911, 20
query 14, 2025-04-18 12:52:12.913, 2025-04-18 12:52:13.198, 
query 15, 2025-04-18 12:52:13.200, 2025-04-18 12:52:13.439, 
query 16, 2025-04-18 12:52:13.441, 2025-04-18 12:52:13.827, 
query 17, 2025-04-18 12:52:13.829, 2025-04-18 12:52:14.133, 64
query 18, 2025-04-18 12:52:14.135, 2025-04-18 12:52:14.380, 
query 19, 2025-04-18 12:52:14.382, 2025-04-18 12:52:14.622, 
query 20, 2025-04-18 12:52:14.624, 2025-04-18 12:52:14.909, 46
query 21, 2025-04-18 12:52:14.911, 2025-04-18 12:52:15.203, 23
query 22, 2025-04-18 12:52:15.205, 2025-04-18 12:52:15.446, 
query 23, 2025-04-18 12:52:15.448, 2025-04-18 12:52:15.699, 
query 24, 2025-04-18 12:52:15.701, 2025-04-18 12:52:16.130, 91
92
query 25, 2025-04-18 12:52:16.132, 2025-04-18 12:52:16.386, 15
query 26, 2025-04-18 12:52:16.388, 2025-04-18 12:52:16.637, 11
query 27, 2025-04-18 12:52:16.639, 2025-04-18 12:52:16.880, 
query 28, 2025-04-18 12:52:16.882, 2025-04-18 12:52:17.166, 
query 29, 2025-04-18 12:52:17.168, 2025-04-18 12:52:17.422, 15
query 30, 2025-04-18 12:52:17.424, 2025-04-18 12:52:17.726, 50
query 31, 2025-04-18 12:52:17.728, 2025-04-18 12:52:17.966, 
query 32, 2025-04-18 12:52:17.968, 2025-04-18 12:52:21.776, 3519
query 33, 2025-04-18 12:52:21.778, 2025-04-18 12:52:22.079, 61
query 34, 2025-04-18 12:52:22.080, 2025-04-18 12:52:22.339, 19
query 35, 2025-04-18 12:52:22.341, 2025-04-18 12:52:22.704, 
query 36, 2025-04-18 12:52:22.706, 2025-04-18 12:52:22.950, 
query 37, 2025-04-18 12:52:22.952, 2025-04-18 12:52:23.200, 10
query 38, 2025-04-18 12:52:23.202, 2025-04-18 12:52:23.445, 
query 39, 2025-04-18 12:52:23.447, 2025-04-18 12:52:23.697, 
query 40, 2025-04-18 12:52:23.699, 2025-04-18 12:52:23.973, 35
query 41, 2025-04-18 12:52:23.975, 2025-04-18 12:52:24.267, 51
query 42, 2025-04-18 12:52:24.269, 2025-04-18 12:52:24.514, 7
query 43, 2025-04-18 12:52:24.516, 2025-04-18 12:52:24.766, 11
query 44, 2025-04-18 12:52:24.768, 2025-04-18 12:52:25.024, 
query 45, 2025-04-18 12:52:25.026, 2025-04-18 12:52:25.265, 
query 46, 2025-04-18 12:52:25.267, 2025-04-18 12:52:25.525, 20
query 47, 2025-04-18 12:52:25.527, 2025-04-18 12:52:25.765, 
query 48, 2025-04-18 12:52:25.767, 2025-04-18 12:52:26.021, 14
query 49, 2025-04-18 12:52:26.023, 2025-04-18 12:52:26.282, 
query 50, 2025-04-18 12:52:26.284, 2025-04-18 12:52:26.541, 18
query 51, 2025-04-18 12:52:26.543, 2025-04-18 12:52:26.789, 
query 52, 2025-04-18 12:52:26.791, 2025-04-18 12:52:27.035, 7
query 53, 2025-04-18 12:52:27.037, 2025-04-18 12:52:27.531, 46
query 54, 2025-04-18 12:52:27.532, 2025-04-18 12:52:33.590, 
query 55, 2025-04-18 12:52:33.592, 2025-04-18 12:52:33.836, 7
query 56, 2025-04-18 12:52:33.838, 2025-04-18 12:52:34.140, 62
query 57, 2025-04-18 12:52:34.142, 2025-04-18 12:52:34.380, 
query 58, 2025-04-18 12:52:34.382, 2025-04-18 12:52:34.649, 
query 59, 2025-04-18 12:52:34.651, 2025-04-18 12:52:35.050, 145
query 60, 2025-04-18 12:52:35.052, 2025-04-18 12:52:35.352, 60
query 61, 2025-04-18 12:52:35.354, 2025-04-18 12:52:35.622, 29
query 62, 2025-04-18 12:52:35.624, 2025-04-18 12:52:35.879, 16
query 63, 2025-04-18 12:52:35.881, 2025-04-18 12:52:36.374, 46
query 64, 2025-04-18 12:52:36.376, 2025-04-18 12:52:36.773, 147
