query,time (ms)
query 1,6699.0
query 3,10420.0
query 6,3760.0
query 7,21408.0
query 9,9120.0
query 12,1171.0
query 13,20649.0
query 17,14474.0
query 20,623.0
query 21,1694.0
query 24,29101.0
query 25,6085.0
query 26,10600.0
query 29,4749.0
query 30,1975.0
query 32,18206.0
query 33,3158.0
query 34,1311.0
query 37,120887.0
query 40,3765.0
query 41,1649.0
query 42,194.0
query 43,207.0
query 46,1999.0
query 48,300.0
query 50,928.0
query 52,585.0
query 53,647.0
query 55,601.0
query 56,826.0
query 58,1023.0
query 59,2776.0
query 60,433.0
query 61,794.0
query 62,3785.0
query 63,336.0
query 64,4650.0
query 65,2240.0
query 68,9427.0
query 71,13113.0
query 73,963.0
query 79,1972.0
query 81,2668.0
query 82,240969.0
query 83,1824.0
query 89,1401.0
query 91,384.0
query 92,8682.0
query 93,473.0
query 96,190.0
query 98,893.0
query 99,6238.0
