query,time (ms)
query 1,1456.0
query 3,17.0
query 6,129.0
query 7,83.0
query 9,231.0
query 12,126.0
query 13,157.0
query 17,2161.0
query 20,129.0
query 21,92.0
query 24,11474.0
query 25,2116.0
query 26,198.0
query 29,2113.0
query 30,396.0
query 32,15541.0
query 33,189.0
query 34,391.0
query 37,59381.0
query 40,128.0
query 41,75.0
query 42,21.0
query 43,25.0
query 46,1045.0
query 48,80.0
query 50,144.0
query 52,18.0
query 53,125.0
query 55,18.0
query 56,119.0
query 58,135.0
query 59,1056.0
query 60,133.0
query 61,107.0
query 62,61.0
query 63,120.0
query 64,712.0
query 65,899.0
query 68,189.0
query 71,4066.0
query 73,57.0
query 79,1069.0
query 81,812.0
query 82,118739.0
query 83,154.0
query 89,353.0
query 91,31.0
query 92,7783.0
query 93,142.0
query 96,14.0
query 98,405.0
query 99,43.0
