query_id,cpu_used(%),ram_used(gb),time(ms)
1,83.1,1.07,250.0
2,14.5,1.01,40.0
3,69.7,1.01,169.0
4,68.3,0.93,136.0
5,69.8,0.96,166.0
6,33.9,0.89,73.0
7,68.8,0.93,183.0
8,66.1,0.9,157.0
9,87.5,1.08,465.0
10,60.0,0.99,275.0
11,18.3,0.9,35.0
12,62.9,0.98,125.0
13,81.5,1.05,374.0
14,50.0,1.09,61.0
15,73.0,1.1,69.5
16,40.3,1.0,81.0
17,66.1,0.93,133.0
18,81.2,1.0,359.0
19,63.5,1.04,217.0
20,67.2,1.11,144.0
21,76.2,1.11,422.0
22,29.0,1.09,61.0
