query_id,cpu_used(%),ram_used(gb),time(ms)
1,91.0,1.21,1266.0
2,68.3,0.92,169.0
3,87.3,1.17,991.0
4,87.9,1.11,817.0
5,86.4,1.35,977.0
6,61.5,1.08,375.0
7,94.0,1.61,1088.0
8,82.5,1.58,1038.0
9,98.5,2.58,2816.0
10,86.6,1.64,1472.0
11,77.8,1.33,145.0
12,80.6,1.46,683.0
13,95.4,1.45,2158.0
14,68.8,1.39,302.0
15,98.5,1.3,410.5
16,75.0,1.06,378.0
17,84.8,1.33,1245.0
18,90.6,1.53,1866.0
19,80.0,1.51,1086.0
20,78.1,1.34,707.0
21,98.5,1.58,2419.0
22,81.0,0.92,403.0
