query_id,cpu_used(%),ram_used(gb),time(ms)
1,59.7,0.89,130.0
2,95.4,0.91,744.0
3,69.8,0.88,228.0
4,98.5,1.96,4280.0
5,69.7,1.28,575.0
6,66.2,0.91,253.0
7,71.9,1.19,481.0
8,62.9,1.07,261.0
9,97.1,1.22,1276.0
10,67.7,1.18,232.0
11,98.5,1.53,2678.0
12,3.2,0.81,
13,79.4,1.06,651.0
14,98.5,2.63,4783.5
15,42.9,1.02,108.0
16,3.2,1.01,
17,70.3,1.1,412.0
18,52.4,1.06,344.0
19,59.7,1.07,302.0
20,3.3,0.88,
21,3.2,0.87,
22,96.9,12.86,16674.0
23,98.5,2.88,4834.5
24,80.0,1.5,413.0
25,54.8,1.21,136.0
26,49.2,1.18,254.0
27,71.9,1.23,516.0
28,95.5,1.03,1243.0
29,69.8,1.17,462.0
30,54.1,0.98,128.0
31,75.8,1.18,425.0
32,1.6,0.96,
33,60.3,1.08,324.0
34,73.4,1.1,305.0
35,89.1,1.18,574.0
36,71.0,1.26,1347.0
37,1.6,0.7,
38,92.4,0.95,705.0
39,93.9,1.16,479.0
40,3.2,0.97,
41,11.5,0.97,30.0
42,68.8,1.07,204.0
43,78.5,1.12,409.0
44,79.7,1.02,256.0
45,52.4,1.04,143.0
46,78.1,1.15,612.0
47,89.4,1.25,1198.0
48,80.0,1.12,598.0
49,58.1,1.17,470.0
50,87.7,1.16,553.0
51,97.0,1.81,3944.0
52,62.5,0.99,199.0
53,65.2,1.06,287.0
54,65.6,1.15,288.0
55,60.6,1.13,186.0
56,61.5,1.06,363.0
57,84.4,0.89,565.0
58,55.6,1.07,244.0
59,95.5,1.12,1311.0
60,61.3,1.21,363.0
61,87.7,1.33,472.0
62,83.1,1.14,172.0
63,60.3,1.17,271.0
64,82.5,1.52,1539.0
65,98.5,1.35,1236.0
66,54.0,1.13,226.0
67,98.5,4.79,10898.0
68,59.4,1.43,553.0
69,24.2,0.99,51.0
70,98.5,1.04,560.0
71,60.9,1.02,305.0
72,70.3,1.16,708.0
73,68.8,1.02,295.0
74,98.5,1.47,1920.0
75,89.6,1.38,1098.0
76,67.2,1.28,495.0
77,1.6,0.9,
78,97.0,2.07,2719.0
79,81.5,1.18,542.0
80,3.2,1.18,
81,58.1,1.24,197.0
82,4.8,1.15,
83,28.6,1.13,59.0
84,41.3,1.11,74.0
85,61.9,1.23,282.0
86,70.3,1.12,146.0
87,92.4,1.24,767.0
88,98.5,1.28,1014.0
89,65.1,1.11,330.0
90,38.1,0.96,67.0
91,23.8,0.95,46.0
92,3.2,0.95,
93,60.3,1.04,154.0
94,3.2,0.91,
95,4.8,0.91,
96,68.3,0.98,174.0
97,92.4,1.2,983.0
98,3.2,0.95,
99,81.8,0.97,256.0
