query_id, real_time(s), user_time(s), sys_time(s)
1, 0.248, 0.870611, 0.093262
2, 0.039, 0.073034, 0.022247
3, 0.171, 0.518402, 0.105228
4, 0.137, 0.428910, 0.075800
5, 0.164, 0.500272, 0.094324
6, 0.073, 0.196957, 0.088032
7, 0.184, 0.534165, 0.145815
8, 0.158, 0.410349, 0.162288
9, 0.476, 1.480530, 0.299815
10, 0.295, 0.810702, 0.163771
11, 0.035, 0.103399, 0.016711
12, 0.125, 0.395335, 0.090154
13, 0.398, 1.353722, 0.111264
14, 0.120, 0.287851, 0.120693
14, 0.003, 0.000870, 0.000000
15, 0.138, 0.427751, 0.104725
15, 0.004, 0.000584, 0.000000
16, 0.082, 0.226136, 0.052347
17, 0.132, 0.407311, 0.099595
18, 0.363, 1.219915, 0.133855
19, 0.220, 0.602885, 0.177040
20, 0.140, 0.403717, 0.123449
21, 0.418, 1.384609, 0.136106
22, 0.071, 0.176223, 0.019189
