query,time (ms)
query 1,14235.0
query 2,1653.0
query 3,3432.0
query 4,5825.0
query 5,3203.0
query 6,20.0
query 7,257.0
query 8,2374.0
query 9,561.0
query 12,1136.0
query 13,1155.0
query 16,5491.0
query 17,1742.0
query 18,6709.0
query 19,870.0
query 20,3476.0
