query_id,cpu_used(%),ram_used(gb),time(ms)
1,65.57,0.73,617.0
2,26.2,0.7,75.0
3,72.55,0.8,421.0
4,66.65,0.88,385.0
5,73.55,1.06,434.0
6,66.1,1.1,185.0
7,76.6,1.07,487.0
8,56.45,0.97,383.0
9,62.22,1.17,1143.0
10,76.27,1.0,712.0
11,38.7,0.79,72.0
12,49.0,0.92,315.0
13,85.52,1.08,1057.0
14,38.7,1.03,148.5
15,69.3,1.14,187.5
16,70.3,1.06,181.0
17,55.6,1.03,344.0
18,74.32,1.04,931.0
19,43.77,1.11,542.0
20,49.05,1.08,332.0
21,76.4,1.22,1098.0
22,71.4,1.09,147.0
