query_id, real_time(s), user_time(s), sys_time(s)
1, 0.043, 0.794729, 0.229418
2, 0.051, 0.129375, 0.097515
3, 0.070, 0.572333, 0.374453
4, 0.064, 0.493119, 0.197687
5, 0.067, 0.595908, 0.319322
6, 0.027, 0.166204, 0.314049
7, 0.111, 0.574136, 0.407309
8, 0.064, 0.480203, 0.413474
9, 0.151, 1.550980, 0.796691
10, 0.141, 1.203379, 0.540137
11, 0.019, 0.111351, 0.097318
12, 0.051, 0.400582, 0.396830
13, 0.099, 1.410862, 0.372548
14, 0.079, 0.351953, 0.395954
14, 0.005, 0.000343, 0.000379
15, 0.048, 0.487873, 0.402336
15, 0.004, 0.000000, 0.000432
16, 0.061, 0.299926, 0.158981
17, 0.057, 0.403237, 0.379341
18, 0.111, 1.407408, 0.452295
19, 0.146, 0.656263, 0.438946
20, 0.052, 0.448845, 0.326298
21, 0.160, 1.507022, 0.368151
22, 0.053, 0.234887, 0.057559
