query,time (ms)
query 1,1292.0
query 2,41095.0
query 3,16.0
query 6,123.0
query 7,61.0
query 9,155.0
query 12,105.0
query 13,104.0
query 17,1298.0
query 20,106.0
query 21,55.0
query 24,9699.0
query 25,1231.0
query 26,47.0
query 29,1233.0
query 30,256.0
query 32,9392.0
query 33,140.0
query 34,235.0
query 37,28651.0
query 40,72.0
query 41,76.0
query 42,17.0
query 43,20.0
query 46,831.0
query 48,54.0
query 50,94.0
query 52,15.0
query 53,97.0
query 54,22591.0
query 55,14.0
query 56,105.0
query 58,134.0
query 59,585.0
query 60,113.0
query 61,71.0
query 62,23.0
query 63,98.0
query 64,437.0
query 65,353.0
query 68,105.0
query 71,2449.0
query 73,45.0
query 79,1129.0
query 81,600.0
query 82,59143.0
query 83,128.0
query 89,332.0
query 91,22.0
query 92,4632.0
query 93,85.0
query 96,13.0
query 98,268.0
query 99,29.0
