query,time (ms)
query 1,3692.0
query 2,44493.0
query 3,3835.0
query 6,1522.0
query 7,6088.0
query 9,2342.0
query 12,1080.0
query 13,5357.0
query 17,7749.0
query 20,742.0
query 21,3351.0
query 24,23031.0
query 25,3371.0
query 26,6084.0
query 29,3012.0
query 30,1671.0
query 32,10936.0
query 33,1427.0
query 34,1149.0
query 37,58673.0
query 40,1946.0
query 41,1657.0
query 42,188.0
query 43,201.0
query 46,1845.0
query 48,265.0
query 50,770.0
query 52,588.0
query 53,732.0
query 54,31923.0
query 55,593.0
query 56,1008.0
query 58,1182.0
query 59,1738.0
query 60,273.0
query 61,713.0
query 62,721.0
query 63,295.0
query 64,3123.0
query 65,1660.0
query 68,4421.0
query 71,6690.0
query 73,975.0
query 79,1990.0
query 81,2344.0
query 82,120433.0
query 83,1344.0
query 89,1299.0
query 91,331.0
query 92,5537.0
query 93,399.0
query 96,166.0
query 98,709.0
query 99,3054.0
