query,time (ms)
query 1,1344.0
query 2,40627.0
query 3,14.0
query 6,99.0
query 7,57.0
query 9,127.0
query 12,103.0
query 13,97.0
query 17,1290.0
query 20,103.0
query 21,52.0
query 24,9633.0
query 25,1235.0
query 26,48.0
query 29,1233.0
query 30,257.0
query 32,9368.0
query 33,136.0
query 34,236.0
query 37,28655.0
query 40,70.0
query 41,73.0
query 42,17.0
query 43,20.0
query 46,835.0
query 48,52.0
query 50,91.0
query 52,14.0
query 53,95.0
query 54,22631.0
query 55,14.0
query 56,99.0
query 58,129.0
query 59,587.0
query 60,114.0
query 61,71.0
query 62,23.0
query 63,97.0
query 64,445.0
query 65,347.0
query 68,104.0
query 71,2480.0
query 73,43.0
query 79,1137.0
query 81,606.0
query 82,59143.0
query 83,126.0
query 89,330.0
query 91,21.0
query 92,4653.0
query 93,85.0
query 96,11.0
query 98,263.0
query 99,27.0
