query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,5678,80.22,14,1.96,4.1,27.48
query 2,84844,100.0,55,8.35,4.1,37.79
query 3,4579,78.14,17,2.94,4.1,25.85
query 6,1985,59.45,14,3.12,4.1,27.98
query 7,7059,76.83,11,4.05,4.1,26.06
query 9,2858,81.91,10,4.52,4.1,29.48
query 13,6283,78.09,20,5.58,4.1,26.14
query 17,5407,73.05,100,6.47,8.11,72.45
query 24,28947,92.71,10,6.88,8.11,42.26
query 25,2140,65.06,100,7.0,8.11,74.93
query 26,3918,80.05,66,7.3,8.11,32.56
query 29,1848,51.01,99,7.8,8.11,71.78
query 30,2356,56.53,55,7.91,8.11,36.56
query 33,1762,62.47,17,7.82,8.11,28.79
query 34,1546,54.64,20,8.04,8.11,31.3
query 41,2538,52.78,1,7.89,8.12,25.89
query 42,280,48.61,0,7.89,8.12,25.47
query 43,331,63.0,8,7.87,8.12,26.66
query 46,1969,64.71,19,8.13,8.12,50.17
query 48,388,67.17,1,8.06,8.12,25.46
query 50,1144,65.58,51,8.32,8.12,54.84
query 52,814,54.29,19,8.53,8.12,26.08
query 53,854,66.5,26,8.48,8.12,30.89
query 54,64606,100.0,42,11.84,8.12,35.92
query 55,879,66.08,18,8.13,8.12,27.68
query 56,1236,50.89,9,8.01,8.12,27.01
query 58,1989,57.75,5,7.98,8.12,29.2
query 59,2316,58.15,41,8.06,8.12,28.46
query 60,613,55.25,2,7.98,8.12,39.23
query 61,1092,55.39,16,7.98,8.12,26.01
query 62,1139,58.93,8,8.04,8.12,25.98
query 63,418,53.37,9,8.12,8.12,35.08
query 64,4622,66.58,86,8.91,8.12,73.53
query 65,2194,57.47,36,9.11,8.12,57.41
query 68,3610,77.53,52,9.11,8.12,49.11
query 71,8701,100.0,13,9.97,8.12,26.44
query 73,1430,48.48,18,9.61,8.12,28.37
query 79,2082,66.4,17,9.92,12.12,40.94
query 81,3144,67.68,20,10.09,12.12,28.94
query 83,2074,49.25,2,9.97,12.12,28.38
query 89,1529,50.63,39,10.12,12.12,29.15
query 91,409,52.14,1,10.05,12.12,25.57
query 93,503,47.75,0,10.02,12.12,25.53
query 96,240,52.76,0,9.99,12.12,25.44
query 99, 3173,75.88,9,10.2,12.12,25.75
