query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,805,65.66,19,3.42,4.12,26.17
query 2,4108,99.0,7,3.54,4.12,25.98
query 3,353,48.49,5,3.19,4.12,28.32
query 6,83,45.98,0,3.38,4.12,25.68
query 7,171,48.49,5,3.37,4.12,26.96
query 9,110,61.4,0,3.36,4.12,25.68
query 13,60,49.87,0,3.22,4.12,25.68
query 17,462,44.84,13,3.25,4.12,26.47
query 24,1641,44.33,1,3.31,4.12,27.55
query 25,413,43.72,20,3.31,4.12,37.17
query 26,141,44.03,15,3.48,4.12,26.08
query 29,423,53.13,17,3.39,4.12,43.07
query 30,749,46.37,15,3.64,4.12,29.79
query 33,123,47.61,0,3.79,4.12,25.68
query 34,368,61.56,5,3.71,4.12,25.98
query 41,78,47.34,0,3.45,4.12,25.58
query 42,16,46.37,0,3.42,4.12,26.66
query 43,17,46.15,3,3.4,4.12,25.68
query 44,161,43.36,0,3.4,4.12,25.77
query 46,385,45.59,7,3.3,4.12,27.15
query 48,22,51.26,2,3.35,4.12,25.6
query 50,64,47.62,2,3.27,4.12,25.56
query 52,337,47.22,5,3.27,4.12,25.65
query 53,72,64.84,17,3.4,4.12,25.68
query 54,3445,99.25,20,3.64,4.12,26.38
query 55,338,45.48,5,3.43,4.12,27.24
query 56,264,46.73,17,3.58,4.12,25.74
query 58,191,45.86,0,3.44,4.12,25.68
query 59,157,45.84,5,3.41,4.12,25.68
query 60,252,44.58,6,3.39,4.12,25.78
query 61,39,43.47,13,3.37,4.12,26.65
query 62,26,44.22,1,3.34,4.12,25.78
query 63,78,44.19,1,3.31,4.12,25.68
query 64,873,47.47,18,3.41,4.12,27.73
query 65,110,47.38,12,3.4,4.12,33.0
query 68,375,60.86,0,3.32,4.12,26.16
query 71,581,54.77,8,3.34,4.12,27.15
query 73,352,42.96,0,3.46,4.12,26.67
query 78,6560,100.0,25,3.8,4.12,28.32
query 79,398,48.0,24,3.25,4.12,26.17
query 81,788,49.75,16,3.67,4.12,26.37
query 83,208,58.4,0,3.8,4.12,25.68
query 89,407,43.89,7,3.6,4.12,29.95
query 91,24,43.72,2,3.59,4.12,25.64
query 93,19,43.86,3,3.52,4.12,25.66
query 96,12,43.07,0,3.43,4.12,25.75
query 99, 34,26.37,0,3.36,4.12,25.75
