query_id, cpu_used(%), ram_used(gb)
01, 70.3, 0.85
01, 41.9, 0.78
02, 81.5, 0.80
02, 93.9, 0.83
02, 94.1, 0.86
02, 95.5, 0.91
02, 95.5, 0.96
02, 3.2, 0.72
03, 65.6, 0.82
03, 66.7, 1.09
04, 56.2, 0.99
04, 53.1, 1.15
04, 49.2, 1.18
04, 59.1, 1.39
04, 73.8, 1.46
04, 50.0, 1.46
04, 51.6, 1.46
04, 76.5, 1.54
04, 69.8, 1.83
04, 70.8, 2.24
04, 21.5, 2.53
04, 74.6, 2.66
04, 66.1, 2.67
04, 50.0, 2.67
04, 49.2, 2.68
04, 50.0, 2.70
04, 50.0, 2.70
04, 84.1, 2.58
04, 76.2, 2.62
04, 56.9, 2.62
04, 95.5, 2.62
04, 94.0, 2.66
04, 33.3, 2.66
04, 98.5, 2.66
04, 85.9, 2.67
04, 76.2, 2.67
04, 76.2, 2.67
04, 75.0, 2.68
04, 64.5, 2.68
04, 50.0, 2.69
04, 57.8, 2.53
04, 76.6, 2.53
04, 50.0, 2.53
04, 50.8, 2.54
04, 4.8, 0.98
05, 59.7, 1.05
05, 69.2, 1.27
05, 66.2, 1.66
05, 97.0, 1.75
05, 42.2, 0.93
06, 63.5, 1.07
06, 39.7, 1.27
07, 65.6, 1.07
07, 69.8, 1.32
07, 74.2, 1.59
07, 27.0, 0.89
08, 61.3, 0.99
08, 74.6, 1.22
09, 76.2, 0.96
09, 76.6, 1.22
09, 89.1, 1.33
09, 98.5, 1.33
09, 98.5, 1.33
09, us., 1.33
09, 98.5, 1.33
09, 98.5, 1.33
09, 98.5, 1.33
10, 67.2, 1.07
10, 57.8, 1.17
11, 64.6, 1.22
11, 73.8, 1.25
11, 65.1, 1.25
11, 75.8, 1.40
11, 73.8, 1.66
11, 39.7, 1.97
11, 49.2, 2.12
11, 74.6, 2.13
11, 49.2, 2.14
11, 49.2, 2.15
11, 50.0, 2.16
11, 68.8, 2.16
11, 66.2, 2.19
11, 69.7, 2.18
11, 97.1, 2.18
11, 35.9, 2.29
11, 89.1, 2.39
11, 74.6, 2.40
11, 73.4, 2.40
11, 75.8, 2.39
11, 76.2, 2.39
11, 69.8, 2.39
11, 1.6, 1.20
12, 3.2, 1.20
13, 66.2, 1.23
13, 78.5, 1.37
13, 78.8, 1.50
13, 81.8, 1.64
13, 67.7, 1.80
14, 74.2, 1.03
14, 89.2, 1.15
14, 86.8, 1.28
14, 83.6, 1.42
14, 84.6, 1.58
14, 86.2, 1.80
14, 84.8, 1.97
14, 79.7, 2.20
14, 68.7, 2.67
14, 83.3, 2.94
14, 62.7, 3.49
14, 53.0, 4.15
14, us., 4.15
14, us., 4.15
14, us., 4.15
14, 98.5, 4.15
14, us., 4.15
14, 98.5, 4.15
14, us., 4.15
14, 98.5, 4.15
14, us., 4.15
14, 98.5, 4.15
14, us., 4.15
14, 98.5, 4.15
14, 95.2, 4.00
14, 93.9, 3.19
14, 96.9, 3.19
14, 55.4, 3.19
14, 79.4, 3.53
14, 98.5, 3.54
14, us., 3.54
14, 98.5, 3.53
14, 98.5, 3.53
14, us., 3.53
14, us., 3.51
14, 60.3, 3.00
14, 98.5, 2.90
14, us., 2.90
14, 98.5, 2.87
14, 84.6, 2.44
14, 97.0, 2.44
14, 84.6, 2.31
14, 56.9, 2.77
14, 84.4, 2.97
14, 98.5, 2.97
14, 98.5, 2.97
14, 98.5, 2.97
14, us., 2.97
14, 98.5, 2.97
14, us., 2.97
14, 84.6, 2.54
14, 98.5, 2.53
14, 83.3, 2.55
14, 44.6, 3.14
14, 98.5, 3.29
14, 98.5, 3.29
14, us., 3.29
14, us., 3.29
14, 98.5, 3.28
14, 98.5, 3.28
14, us., 3.28
14, 12.7, 1.29
15, 38.7, 1.10
16, 3.2, 1.10
17, 66.1, 1.14
17, 75.8, 1.25
17, 66.7, 1.42
18, 55.4, 1.09
18, 57.8, 1.17
19, 65.6, 1.26
19, 69.7, 1.45
19, 6.6, 0.99
20, 3.2, 0.98
21, 3.2, 0.99
22, 79.7, 1.01
22, us., 1.01
22, 56.9, 1.01
23, 72.3, 1.05
23, 86.4, 1.15
23, 84.8, 1.32
23, 83.1, 1.51
23, 83.3, 1.69
23, 81.8, 1.92
23, 85.1, 2.18
23, 84.4, 2.42
23, 86.2, 2.65
23, 84.8, 2.91
23, 83.1, 3.15
23, 84.6, 3.39
23, 90.8, 3.51
23, 92.4, 3.62
23, 89.7, 3.74
23, 92.4, 3.83
23, us., 3.88
23, 97.0, 3.88
23, 95.5, 3.88
23, 93.9, 3.88
23, 81.8, 3.79
23, us., 3.67
23, 98.5, 3.34
23, 98.5, 2.71
23, 96.9, 2.71
23, us., 2.71
23, 85.1, 2.71
23, us., 2.71
23, us., 2.71
23, 98.5, 2.67
23, 91.0, 2.62
23, 90.9, 2.59
23, 88.1, 2.64
23, 89.2, 2.69
23, 88.1, 2.74
23, 87.7, 2.86
23, 87.9, 3.04
23, 86.2, 3.22
23, 89.6, 3.42
23, 87.9, 3.63
23, 87.9, 3.82
23, 86.2, 4.02
23, 98.5, 4.11
23, 97.0, 4.11
23, 97.0, 4.11
23, 92.3, 4.11
23, 90.9, 4.10
23, 98.5, 4.10
23, 97.0, 4.10
23, us., 3.89
23, 95.5, 3.83
23, 98.5, 3.74
23, 73.4, 3.63
23, 3.2, 1.22
24, 64.6, 1.17
24, 75.0, 1.30
24, 73.8, 1.47
24, 98.5, 1.49
24, 98.5, 1.49
25, 60.9, 0.91
25, 69.8, 1.20
25, 70.8, 1.54
25, 0.0, 0.82
26, 69.2, 0.91
27, 67.2, 1.00
27, 76.2, 1.18
27, 72.3, 1.49
27, 30.2, 1.02
28, 69.4, 1.06
28, 75.8, 1.28
28, 97.0, 1.38
28, 98.5, 1.38
28, us., 1.38
28, us., 1.38
28, 98.5, 1.39
28, 97.0, 1.39
28, 76.6, 1.12
29, 61.5, 1.16
29, 73.0, 1.33
29, 78.1, 1.46
29, 3.2, 0.91
30, 44.6, 0.96
31, 64.6, 1.01
31, 81.2, 1.18
31, 77.6, 1.40
32, 3.2, 0.80
33, 57.8, 0.97
33, 64.1, 1.30
33, 23.4, 0.92
34, 69.7, 1.02
34, 81.5, 1.20
34, 17.7, 1.11
35, 67.7, 1.19
35, 85.9, 1.28
35, 63.6, 1.37
35, 1.6, 1.05
36, 72.7, 1.11
36, 83.3, 1.21
36, 84.8, 1.31
36, 85.9, 1.41
36, 9.7, 1.01
37, 3.2, 1.02
38, 73.8, 1.07
38, 95.4, 1.11
38, 89.4, 1.20
38, 90.9, 1.30
38, 32.8, 0.87
39, 65.1, 0.93
40, 3.3, 0.88
41, 6.5, 0.86
42, 67.2, 1.00
42, 62.9, 1.17
43, 76.6, 1.15
